Query,Number of Overlapping Results,Percent Overlap,Spearman Coefficient
A two dollar bill from 1953 is worth what,3,30.0,0.75
What is franky jonas 's favorite color,1,10.0,-1
Is there an emergency action plan,0,0.0,0
How much does medical insurance cost for a single person,2,20.0,-49.0
What is noah cyrus address so you can send her a fan mail,0,0.0,0
Have many points did wayne getzky get,2,20.0,-36.0
How wide can vagina 's get,2,20.0,-9.0
Calories in a lollipop,3,30.0,-15.5
Pdf password cracker v 3.1 registration key,0,0.0,0
Another name for karyokinesis,2,20.0,-97.0
What continent you indonesia on,5,50.0,0.5
Do deers live in savanna,1,10.0,-1
What did lice cause in ww1,6,60.0,-1.0
What women invented the brush,4,40.0,-4.0
What is the order of electromagnetic radiation decreasing frequency,2,20.0,-9.0
New tropicana advert,0,0.0,0
Where did siddartha Gautama live and teach,2,20.0,-39.0
2003 GMC yukon ignition,0,0.0,0
What is the value of 1928 us 50 bill,5,50.0,-1.2000000000000002
Where is alpha amylase released,2,20.0,-36.0
Which Band did Krauss join,2,20.0,-1.0
What is the use of fruits,0,0.0,0
Where do sugar gliders like to live,2,20.0,-17.0
How many championships have lakers,3,30.0,-1.75
What are china major rivers and deserts,2,20.0,-33.0
What do dholes eat,5,50.0,-1.5
Stereo wiring diagram for a 1991 Toyota Camry,0,0.0,0
Names of divine horses on howrse,3,30.0,0.5
What is the population of teachers in the US,1,10.0,-1
How did Fidel V Ramos campaigned,2,20.0,-12.0
What are this 13 systems of human body,2,20.0,-15.0
What are the Flickertail 's eating habits,1,10.0,-1
What kind of money does croatia have,1,10.0,-1
What do our circulatory system includes,2,20.0,-8.0
A vaccination produces what kind of immunity,0,0.0,0
Where does Justin Timbelake live,0,0.0,0
Is corllins university a credited legal college,2,20.0,-49.0
What is a myocaridal infaraction,3,30.0,-14.25
When did bobsledding first enter,2,20.0,0.0
500 mg of cinnamon equal how many teaspoons,0,0.0,0
How many religions in spain,3,30.0,-12.5
How many lice did bob marly have,1,10.0,-1
What were the domsetic consequences of world war 1,2,20.0,-64.0
What is the meaning of multitasking and multiuser operating system,0,0.0,0
The sun and the celestial bodies that orbit the sunincluding planets satellites asteroids comets dust and gas,1,10.0,-1
Tell you about vampire bats,2,20.0,1.0
Specifying categories,0,0.0,0
How much does a rookie card of babe ruth cost,1,10.0,-1
So what is fair trade,2,20.0,-9.0
What is the secret ingredient of coke,2,20.0,-1.0
When and how did Slobodan Milosevic die,4,40.0,-1.0
What do teardrop tattoos on your eyes symbolize,2,20.0,-4.0
What colors can a Yorkie be,0,0.0,0
On neopets how can you put a code in a scroll box without the code being in the same box as another,2,20.0,-24.0
How much does it cost to rent a limo for the day in Madison WI,1,10.0,-1
Where is the 50 story eiffel tower located,3,30.0,-8.0
What is the length of an amtrak train,1,10.0,-1
Where to give ideas for an invention,0,0.0,0
You are a big fan or shakira how you can send her a letter,1,10.0,-1
Code to beanie babies,1,10.0,-1
How much is s in roman numerals,2,20.0,-73.0
What is the origin of the mineral silver,0,0.0,0
What is the principle behind the bluetooth,3,30.0,-8.25
What is transmission spectrum,3,30.0,-10.25
How many nutrons does radon have,4,40.0,-6.0
What color is rihanna eyes,2,20.0,-8.0
Who invented metal coil thermometer,1,10.0,1
How did Rome really begin,4,40.0,-6.6
What part of california do corbin live in,2,20.0,-25.0
What is the instrument called that is used to measure tornado 's,2,20.0,-16.0
How does the future look on being a lawyer,0,0.0,0
How do you adjust brightness on your laptop,2,20.0,-7.0
Whenwhere did william morris die,3,30.0,-1.75
How do sanction help to keep the global community safe and secure,0,0.0,0
What is the function of command xargs in linux,1,10.0,-1
How does air pollution affect the food webs,2,20.0,-4.0
What was the name of the Prime Minister in Fiji in 2009,3,30.0,-0.25
What kind of meaning do proverbs have,3,30.0,-2.25
How many planet,1,10.0,-1
What is filters harmful substances from lymph,1,10.0,-1
How did park yong ha died,2,20.0,-4.0
How did people make dresses in colonial times,0,0.0,0
How many liters are in a cup of milk,1,10.0,-1
How much does marijuana coast per ounce,1,10.0,-1
What is the purpose of a steak plate,2,20.0,-7.0
What is the name of the four sperm cells,2,20.0,-3.0
What is the longitudes of delhi,3,30.0,-3.75
How is columbia related to venezuela,1,10.0,1
Fiona wood what is she famous for,3,30.0,0.75
What sounds does brakes make,1,10.0,-1
What nationality are the people in germany,0,0.0,0
What niche do plants have,0,0.0,0
How many gold medals did mia hamm earn,2,20.0,-1.0
What did Roger Bannister,5,50.0,0.75
How much does a medical abortion cost at three weeks,0,0.0,0
What is rank 2nd in populated city,2,20.0,-36.0
What do mexicans houses look like,1,10.0,1
64 millilitres how many litres,3,30.0,-7.75
You want to text dirty with your boyfriend what should you say,0,0.0,0
Can you give me example of anecdotes by the filipino writers,2,20.0,-3.0
Averages,1.7399999999999998,17.4,-8.173
